epoch,train_mse_scaled,val_mse_scaled
1,0.005912747192390573,0.002253267215564847
2,0.0018456626368182091,0.0013754175743088126
3,0.0013239127894242606,0.0010851400438696146
4,0.0011199693370144814,0.0009034699178300798
5,0.0010056325996022982,0.0008304795483127236
6,0.0009501179420719079,0.0007491789292544127
7,0.0008924349254812114,0.0006953455740585923
8,0.0008624646385821203,0.0007066180696710944
9,0.0008468805564916693,0.0006833203369751573
10,0.0008217484520476622,0.0006363476859405637
11,0.0008339708042816103,0.0006445319158956409
12,0.0008075211560935713,0.0006787603488191962
13,0.0008114720723824576,0.0006321725668385625
14,0.0007997711551676426,0.0006099740858189762
15,0.0008005204855483801,0.0006234993925318122
16,0.0007901266784756444,0.0006265903357416391
17,0.0008059669351496268,0.0006119597237557173
18,0.0007987882056719779,0.0006038952269591391
19,0.0008023185444471892,0.0006076318095438182
20,0.000790719447347025,0.0006111198454163969
